Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding
5,0.002,0.2,10,5,0.025,-0.77818,0.21448,0.47733, Dev/Test,char
1,0.001,0.01,200,5,0.25,-0.79657,4.43895,0.52382, Train,char
1,0.001,0.01,200,5,0.25,-0.80199,7.92702,0.50353, Dev/Test,char
2,0.001,0.01,200,5,0.25,-0.81169,9.03958,0.52479, Train,char
2,0.001,0.01,200,5,0.25,-0.79846,8.55996,0.50306, Dev/Test,char
3,0.001,0.01,200,5,0.25,-0.83055,9.0517,0.55542, Train,char
3,0.001,0.01,200,5,0.25,-0.7914,9.68156,0.49678, Dev/Test,char
4,0.001,0.01,200,5,0.25,-0.84452,9.34127,0.58821, Train,char
4,0.001,0.01,200,5,0.25,-0.7873,9.69477,0.48643, Dev/Test,char
5,0.001,0.01,200,5,0.25,-0.85471,9.45502,0.60993, Train,char
5,0.001,0.01,200,5,0.25,-0.78457,9.92216,0.49004, Dev/Test,char
1,0.001,0.2,10,20,0.25,-0.78407,0.36093,0.50926, Train,char
1,0.001,0.2,10,20,0.25,-0.79713,0.35591,0.50353, Dev/Test,char
2,0.001,0.2,10,20,0.25,-0.79741,0.34322,0.52409, Train,char
2,0.001,0.2,10,20,0.25,-0.8011,0.34223,0.50337, Dev/Test,char
3,0.001,0.2,10,20,0.25,-0.81156,0.33066,0.52607, Train,char
3,0.001,0.2,10,20,0.25,-0.79552,0.33905,0.50306, Dev/Test,char
4,0.001,0.2,10,20,0.25,-0.82765,0.31655,0.54505, Train,char
4,0.001,0.2,10,20,0.25,-0.7841,0.33415,0.49741, Dev/Test,char
5,0.001,0.2,10,20,0.25,-0.83813,0.30515,0.57304, Train,char
5,0.001,0.2,10,20,0.25,-0.78011,0.32675,0.49757, Dev/Test,char
1,0.005,0.1,50,20,0.025,-0.79862,0.16767,0.52233, Train,char
1,0.005,0.1,50,20,0.025,-0.79564,0.18343,0.50306, Dev/Test,char
2,0.005,0.1,50,20,0.025,-0.81992,0.34348,0.53216, Train,char
2,0.005,0.1,50,20,0.025,-0.79578,0.46301,0.50353, Dev/Test,char
3,0.005,0.1,50,20,0.025,-0.8362,0.69612,0.56894, Train,char
3,0.005,0.1,50,20,0.025,-0.78902,0.83895,0.49694, Dev/Test,char
4,0.005,0.1,50,20,0.025,-0.84755,1.23133,0.59702, Train,char
4,0.005,0.1,50,20,0.025,-0.78479,1.2084,0.48627, Dev/Test,char
5,0.005,0.1,50,20,0.025,-0.85499,2.0447,0.61403, Train,char
5,0.005,0.1,50,20,0.025,-0.78303,1.8814,0.4869, Dev/Test,char
1,0.0001,0.05,200,20,0.05,-0.78016,0.18732,0.51401, Train,char
1,0.0001,0.05,200,20,0.05,-0.78924,0.20476,0.50275, Dev/Test,char
2,0.0001,0.05,200,20,0.05,-0.7961,0.29439,0.52409, Train,char
2,0.0001,0.05,200,20,0.05,-0.79676,0.25035,0.50322, Dev/Test,char
