Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding,Group
1,0.002,0.2,10,5,0.005,-0.27738,0.92992,0.04215, Train,sgns,G241
1,0.002,0.2,10,5,0.005,-0.27946,0.97148,0.04361, Dev/Test,sgns,G242
2,0.002,0.2,10,5,0.005,-0.34379,0.90185,0.05345, Train,sgns,G243
2,0.002,0.2,10,5,0.005,-0.27003,0.97524,0.04627, Dev/Test,sgns,G244
3,0.002,0.2,10,5,0.005,-0.37379,0.89911,0.05866, Train,sgns,G245
3,0.002,0.2,10,5,0.005,-0.26305,0.98287,0.04329, Dev/Test,sgns,G246
4,0.002,0.2,10,5,0.005,-0.39003,0.90459,0.05989, Train,sgns,G247
4,0.002,0.2,10,5,0.005,-0.26108,0.98873,0.04157, Dev/Test,sgns,G248
5,0.002,0.2,10,5,0.005,-0.40197,0.91211,0.06462, Train,sgns,G249
5,0.002,0.2,10,5,0.005,-0.25986,0.99866,0.04345, Dev/Test,sgns,G250
1,0.002,0.2,10,10,0.005,-0.26206,0.94978,0.04001, Train,sgns,G251
1,0.002,0.2,10,10,0.005,-0.28422,0.99396,0.04094, Dev/Test,sgns,G252
2,0.002,0.2,10,10,0.005,-0.33169,0.92139,0.05054, Train,sgns,G253
2,0.002,0.2,10,10,0.005,-0.27952,0.9905,0.04267, Dev/Test,sgns,G254
3,0.002,0.2,10,10,0.005,-0.3644,0.91363,0.05625, Train,sgns,G255
3,0.002,0.2,10,10,0.005,-0.27417,0.99216,0.03984, Dev/Test,sgns,G256
4,0.002,0.2,10,10,0.005,-0.38342,0.91309,0.05909, Train,sgns,G257
4,0.002,0.2,10,10,0.005,-0.26806,0.99845,0.03718, Dev/Test,sgns,G258
5,0.002,0.2,10,10,0.005,-0.39562,0.91656,0.06223, Train,sgns,G259
5,0.002,0.2,10,10,0.005,-0.26436,1.01106,0.03749, Dev/Test,sgns,G260
1,0.002,0.2,20,5,0.005,-0.28834,0.92173,0.04327, Train,sgns,G261
1,0.002,0.2,20,5,0.005,-0.28734,0.97017,0.04235, Dev/Test,sgns,G262
2,0.002,0.2,20,5,0.005,-0.37034,0.90037,0.0568, Train,sgns,G263
2,0.002,0.2,20,5,0.005,-0.28509,0.98885,0.04408, Dev/Test,sgns,G264
3,0.002,0.2,20,5,0.005,-0.40992,0.91047,0.06471, Train,sgns,G265
3,0.002,0.2,20,5,0.005,-0.27939,1.00112,0.04424, Dev/Test,sgns,G266
4,0.002,0.2,20,5,0.005,-0.43385,0.92235,0.06996, Train,sgns,G267
4,0.002,0.2,20,5,0.005,-0.27589,1.02603,0.04627, Dev/Test,sgns,G268
5,0.002,0.2,20,5,0.005,-0.45036,0.92869,0.07498, Train,sgns,G269
5,0.002,0.2,20,5,0.005,-0.27276,1.03531,0.04502, Dev/Test,sgns,G270
1,0.002,0.2,20,10,0.005,-0.27388,0.93237,0.0413, Train,sgns,G271
1,0.002,0.2,20,10,0.005,-0.28826,0.97132,0.04282, Dev/Test,sgns,G272
2,0.002,0.2,20,10,0.005,-0.35951,0.89786,0.05269, Train,sgns,G273
2,0.002,0.2,20,10,0.005,-0.29464,0.97099,0.04659, Dev/Test,sgns,G274
3,0.002,0.2,20,10,0.005,-0.40485,0.88419,0.06269, Train,sgns,G275
3,0.002,0.2,20,10,0.005,-0.2914,0.98152,0.04627, Dev/Test,sgns,G276
4,0.002,0.2,20,10,0.005,-0.43123,0.88083,0.06813, Train,sgns,G277
4,0.002,0.2,20,10,0.005,-0.28576,0.99036,0.04612, Dev/Test,sgns,G278
5,0.002,0.2,20,10,0.005,-0.44876,0.88085,0.07241, Train,sgns,G279
5,0.002,0.2,20,10,0.005,-0.28178,1.00153,0.04549, Dev/Test,sgns,G280
1,0.002,0.2,50,5,0.005,-0.29008,1.46021,0.04426, Train,sgns,G281
1,0.002,0.2,50,5,0.005,-0.30761,1.48824,0.04141, Dev/Test,sgns,G282
2,0.002,0.2,50,5,0.005,-0.38707,1.56875,0.06049, Train,sgns,G283
2,0.002,0.2,50,5,0.005,-0.30212,1.58535,0.04737, Dev/Test,sgns,G284
3,0.002,0.2,50,5,0.005,-0.43542,1.59734,0.07049, Train,sgns,G285
3,0.002,0.2,50,5,0.005,-0.29734,1.62584,0.05616, Dev/Test,sgns,G286
4,0.002,0.2,50,5,0.005,-0.4655,1.60288,0.07872, Train,sgns,G287
4,0.002,0.2,50,5,0.005,-0.29168,1.62855,0.04659, Dev/Test,sgns,G288
5,0.002,0.2,50,5,0.005,-0.48657,1.58744,0.08473, Train,sgns,G289
5,0.002,0.2,50,5,0.005,-0.29259,1.63604,0.05051, Dev/Test,sgns,G290
1,0.002,0.2,50,10,0.005,-0.28081,1.17024,0.04309, Train,sgns,G291
1,0.002,0.2,50,10,0.005,-0.30289,1.20216,0.04125, Dev/Test,sgns,G292
2,0.002,0.2,50,10,0.005,-0.38233,1.18111,0.0609, Train,sgns,G293
2,0.002,0.2,50,10,0.005,-0.30831,1.1808,0.04784, Dev/Test,sgns,G294
3,0.002,0.2,50,10,0.005,-0.44055,1.1153,0.07141, Train,sgns,G295
3,0.002,0.2,50,10,0.005,-0.29938,1.16747,0.0469, Dev/Test,sgns,G296
4,0.002,0.2,50,10,0.005,-0.47537,1.08933,0.08172, Train,sgns,G297
4,0.002,0.2,50,10,0.005,-0.29884,1.2079,0.04612, Dev/Test,sgns,G298
5,0.002,0.2,50,10,0.005,-0.49819,1.07864,0.09087, Train,sgns,G299
